Status,Station Name,Observation Date,Latitude,Longitude,Observation Time,Observation Notes,Relative Humidity,Barometric Pressure,Air Temperature,Wind Direction ,Visibility ,Water Temperature,Turbidity,Secchi Depth,Width,Depth,Stream Discharge,Surface Water Appearance,Stream Bank Eroision,Water Type,Salinity,Conductivity,Dissolved Oxygen,Nitrate,Ammonia,Phosphate,pH,Biological Oxygen Demand,Total Dissolved Solids,Fecal Coliform,Dissolved Carbon Dioxide,Tolerant Macroinvertebrates,Less Sensitive Macroinvertebrates,Sensitive Macroinvertebrates,Total Index Value,Caddisfly (Trichoptera-Other),Mayfly (Ephemeroptera),Stonefly (Plecoptera),Watersnipe Flies (Diptera-Athericidae),Riffle Beetles (Elmidae),Water Pennies (Psephenidae),Gilled Snails (Viviparidae),Dobsonfies (Corydalinae),Fishflies (Chauliodinae),Netspinning Caddisfly (Trichoptera-Hydropsychidae),Damselflies (Zygoptera),Dragonflies (Anisoptera),Alderflies (Sialidae),Crayfish (Astacoidea),Scuds (Amphipoda),Aquatic Sowbugs (Isopoda),Clams (Sphaeriidae),Mussels (Palaeoheterodonta),Aquatic Worms (Oligochaeta),Black Flies (Diptera-Simuliidae),Midge Flies,Leeches (Hirundinea),Lunged Snails (Pulmonata),Other Macroinvertebrate,silt (mud),"sand (1/16"" - 1/4"" grains)","gravel (1/4"" - 2"" stones)","cobbles (2"" - 10"" stones)","boulders (> 10"" stones)",trees,shrubs,grass,bare soil,rocks,other
,Kenilworth Aquatic Gardens,2019-05-15,38.912786,-76.942812,11:00 am,It was a beautiful day but the 5 days prior were very rainy. This probably affected our water quality.,,,22.78,,11,21.2,,,,,,but tea-colored,65.0,lake,0,,5.3,5.87,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,40,40,,
,Kenilworth Aquatic Gardens,2019-05-15,38.912786,-76.942812,11:00 am,Beautiful day! The previous weekend had torrential rain which resulted in quite a bit of sediment in the water.,,,23.33,,,22.1,5.9,,,,,but tea-colored,35.0,lake,0,,5,5.9,,,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bo River By Bridge Assement,2017-05-12,39.468266,-75.866535,12:30 pm,,88,39.92,12.78,E,10,17.3,65,,,,,but tea-colored,15.0,river,0,124,4,1,,0,8,,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plumtree Run @ BAHS,2017-01-21,39.528698,-76.349161,01:00 pm,"Logan B., Noah R., Nick S., Steven G., Clayton A., Mr. Hedelson",100,,7.78,,0.75,8.8,10,130,3.7,0.27,3.43,colored sheen (oily),35.0,river,0,720,10.2,0,0.5,0,7.8,,,,,19,6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,15,0,0,0,0,0,0,1,,0,10,10,50,30,85,5,0,5,5,
,Big Pool,2016-08-29,39.614723,-78.014676,10:00 am,,,,27.2,,,27.7,30,35,50,5,,clear but tea-colored,15.0,lake,0,,9,0,0,5,6,1,180,100,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30,0,20,45,5,65,10,20,3,2,
,Potomac River at Fort Frederick,2016-08-29,39.60573,-78.003346,10:00 am,,,,19,,,28,8,,35,0.2,,clear,15.0,river,0,245,8,0,0,3.5,7,2,245,"1,000",,125,24,101,9,10,32,15,0,10,0,22,0,0,0,0,3,0,6,0,2,0,0,10,0,4,0,1,flat worms,20,20,15,25,20,50,30,10,5,5,
,SHED2 Kent Island Stormwater Pond,2016-03-30,38.989842,-76.310417,12:18 pm,,32,,11.11,,,11.2,,,,,,,,,3,,7.4,2,,0.5,7,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,PCAC Children's Run,2016-03-09,38.865154,-76.116183,06:00 pm,,,,,,,30,,,,,,,,,18,,7,,,,6,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,SHED2 Cambridge-South Dorchester Little Maple Dam Branch,2016-03-04,38.542135,-76.087172,11:00 am,,,,,,,12,,,,,,,,,0,,8,2,,0,6.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,SHED2 Queen Anne's County High School Gravel Run,2015-10-21,39.03807,-76.045378,09:30 am,,85,,9.44,,,11,,,,,,,,,0,,4,5,,1,7,,,,,2,5,4,24,,,,0,,0,0,,0,,,0,,,0,0,0,0,,0,,0,0,,,,,,,,,,,,
,Deep Creek,2015-09-30,37.768502,-75.749948,03:46 am,"Weather: 68% cloud cover (cumulonimbus, cumulus, and stratus clouds)
Biological Survey - Sein net: 21 silversides,  14 mummichugs, 1 feathered blenny fish, 9 sheepshead minnows, 7 baby blue crabs, 19 banded killis; Grasses: Eel grass",,,,,,25.6,,77,,,,,,,19.03,272.07,8.91,,,,8.2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,"Lucius J. Kellam Jr Bridge bridge, Sunset Bar and Grill",2015-09-28,37.120108,-75.961606,12:37 pm,"Weather: 92% cloud cover (stratus clouds)
Biological Survey - Sein net: 27 silversides, 12 bay anchovies; Grasses: none",,,,,,24.53,,21,,,,,,,30.13,278.57,9.03,,,,8.3,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,"Lucius J. Kellam Jr Bridge bridge, Sunset Bar and Grill",2015-09-27,37.120108,-75.961606,05:32 pm,Weather: 87% cloud cover (stratus clouds),,,,,,24.45,,,,,,,,,31.4,282.5,9.03,,,,8.2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,"Virginia, Oyster",2015-09-25,37.288425,-75.923334,02:21 pm,"Weather: 99% could cover (stratus clouds). Biological Survey - Sein net: 64 mummichugs, 73 silversides, 11 baby crabs, 122 striped kili fish; Grasses: not reported",,,,,,23.7,,92,,,,,,,32,286.3,9.06,,,,8.2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Wachapeague,2015-09-23,37.60412,-75.687471,10:09 pm,"Weather: 98% could cover (cirrostratus clouds). Biological survey - Sein net: 1 baby blue crab, 175 glass shrimp, 17 silverside, 5 spots; Grasses: not reported",,,,,,21.1,,50.5,,,,,,,33.2,299.2,9.66,,,,8.2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Gargatha Creek,2015-09-22,37.777165,-75.539274,03:42 pm,"Weather: 100% could cover (stratus clouds)
Biological Survey - Sein net: 1 fiddler crab; Grasses: none",,,,,,23.63,,28.5,,,,,,,32.2,283.2,9.4,,,,8.3,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Chincoteague Island,2015-09-21,37.940056,-75.370114,02:09 pm,"Weather: 100% cloud cover (stratus clouds)
Biological Survey - Sein net: in process; Grasses: none",,,,,,23.8,,43.5,,,,,,,31.76,281.53,9.28,,,,8.3,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,"Assateague Island, Pope Bay",2015-09-20,38.047876,-75.234363,05:18 pm,"Weather: 60% cloud cover (cumulus and stratus clouds)
Biological Survey - Sein net: silverside (26), weak fish (2), comb jellies (3); Grasses: none",,,,,,26.83,,42,,,,,,,32.87,263.1,9.49,,,,8.4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
