Start Time,End Time,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site,Status,Station Name,Observation Date,Latitude,Longitude
07:39 pm,07:42 pm,,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping",,Cumberland,Providence,Rhode Island,,Pond,Not Known,Temporary Every Year,Not Known,"May be fed by water sources in the back (pond/brook) [AZA - Original coordinates (41.939, -71.4009) lacking precision - moved to pond]",,,Monastery Pond,2021-03-27,41.9348,-71.4013
09:09 pm,09:12 pm,12,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping",54 F-drop down menu is not working,Peninsula,Summit,Ohio,Rural,,Artifically Altered,Permanent,Stream or River,VK Lake Cove,VK Lake Parking Area,,CUVA: Vk Lake,2021-03-27,41.217549,-81.525343
08:43 pm,08:46 pm,13.89,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",Heard at the southern end.,Berea,Cuyahoga,Ohio,County Park,Freshwater Marsh,Natural,Permanent,,"Emergent vegitation (phragmites, cattail) dominate the boarder of this natural lake. Part of the Rocky River East Branch, this site is upstream of the Water Treatment Plant.",Observation towers is located directly accross from Wallace Lake Parking lot.,,Baldwin Lake Observation Tower,2021-03-27,41.36007,-81.85706
08:03 pm,08:05 pm,17.22,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,Heard woodcock breeding calling behind barn next to pond,Front Royal,Warren,Virginia,Rural,Pond,Human-made,Permanent,Pond,Fairly large pond with several water sources that run into it then into a stream called Leach's run that eventually empties into the Shennandoah river.,"Located on Smithsonian's Conservation Biology Institute- no public access.
1500 Remount Rd
Front Rpyal, Va. 22630",,Leach pond,2021-03-27,38.895876,-78.150473
08:42 pm,08:45 pm,10.56,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Gates Mills ,Cuyahoga,Ohio,Suburban,Freshwater Marsh,Natural,Permanent,Precipitation or Runoff,,take wilson mills trailhead until on bridle trail cutting through the wetland,,Wilson Mills Wetland,2021-03-27,41.55266,-81.41811
09:03 pm,09:06 pm,12.78,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Mayfield Village,Cuyahoga ,Ohio,Suburban,Freshwater Marsh,Artifically Altered,Permanent,Precipitation or Runoff,,North chagrin nature center parking lot tehn north end of marsh,,Sanctuary Marsh,2021-03-27,41.563381,-81.435492
09:00 pm,09:05 pm,16.11,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Silver Spring,Montgomery,Maryland,Suburban,Pond,Artifically Altered,Permanent,Not Known,The site is at a stormwater management pond that has a stream that runs into and out of it. It may also have groundwater source. It is surrounded on 3 sides by narrow bands of woodlands.,Location is at the end of Hawkshead Terrace,,Hawkshead Terrace Pond,2021-03-27,39.06712,-76.95427
07:52 pm,07:55 pm,15,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",wood frogs were much more vocal during the day (level 3) and spring peepers were more dominant in the evening.,Danbury,Fairfield,Connecticut,Suburban,Vernal Pool,Natural,Temporary Every Year,Precipitation or Runoff,wooded site with wood and mallard ducks,Great Plain Road between Worden Rd. and Lakeview Rd.,,Great Plain Rd. Vernal Pond,2021-03-27,41.445208,-73.442795
08:21 pm,08:24 pm,10,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Gates Mills ,Cuyahoga,Ohio,Rural,Swamp or Woodland Swamp,Formed by a Beaver Dam,Permanent,Stream or River,Stream fed resevoir created by beaver dam,"Wilson mills to north on chagrin river road, pull off at cmp tree nursery (not marked)",,Dinger's Swamp (Beaver Marsh),2021-03-27,41.562225,-81.417704
08:40 pm,08:43 pm,15.56,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,,,Ohio,Suburban,Pond,Not Known,Permanent,Precipitation or Runoff,,,,Bonnie Park,2021-03-27,41.20058,-81.49981
