Status,Station Name,Observation Date,Latitude,Longitude,Start Time,End Time,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site
,RXY Pond 1,2023-05-31,42.36886,-73.70558,09:00 pm,09:03 pm,23.33,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Kinderhook,Columbia,New York,Rural,Pond,Not Known,Permanent,Pond,,
,RXY Pond 1,2023-05-31,42.36886,-73.70558,09:00 pm,09:03 pm,23.33,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Kinderhook,Columbia,New York,Rural,Pond,Not Known,Permanent,Pond,,
,"Retaiing Pond Carriage Dr. North Haven, CT",2023-03-28,41.401015,-72.829778,07:07 pm,07:08 pm,5.56,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping",,North Haven,New Haven,Connecticut,Suburban,Ditch,Human-made,Permanent,Precipitation or Runoff,Small pond that drains into Waterman's Brook,End of Carriage Drive North Haven cT
,Trailhead #2 Red Trail,2023-03-28,42.703315,-73.841252,08:17 pm,08:20 pm,5.56,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,"Spring peepers can be heard in the distance to the west, I believe west of Rapp Rd.
Woodcock heard!
Sound of the highway is not loud, but a constant hum",Albany,Albany,New York,Preserve,Pond,Artifically Altered,Permanent,Groundwater,,
,Wilbeth Road Towpath,2023-03-28,41.0351,-81.5377,,,,,,,,Spring Peeper (Subspecies - Northern),1 - Individuals can be counted; there is space between calls,"Sunset: 7:47pm
Start Observation: 8:34pm
End Observation: 8:37pm
-only heard one spring peeper right at the end of the observation.
No precipitation 
Wind 7mph- 2 on Beaufort Wind Scale
Temperature 41 degrees F
Above freezing past 48 hours, some precipitation past 48 hours ",Akron,Summit,Ohio,Urban,Swamp or Woodland Swamp,Natural,Permanent,Not Known,,
,Yupa's Beaver Pond,2023-03-28,41.23147,-81.3592,08:50 pm,08:53 pm,3.33,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping",,Streetsboro,Portage,Ohio,Rural,Freshwater Marsh,Formed by a Beaver Dam,Permanent,Precipitation or Runoff,,
,Yupa's Beaver Pond,2023-03-28,41.23147,-81.3592,08:50 pm,08:53 pm,3.33,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Western Chorus Frog,1 - Individuals can be counted; there is space between calls,,Streetsboro,Portage,Ohio,Rural,Freshwater Marsh,Formed by a Beaver Dam,Permanent,Precipitation or Runoff,,
,Trail Lake Park,2023-03-28,41.20499,-81.37024,08:28 pm,08:31 pm,3.33,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper (Subspecies - Northern),"3 - Full chorus, calls are constant, continuous and overlapping",,Streetsboro,Portage,Ohio,Rural,Pond,Human-made,Permanent,Precipitation or Runoff,,
,Trail Lake Park,2023-03-28,41.20499,-81.37024,08:28 pm,08:31 pm,3.33,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Western Chorus Frog,1 - Individuals can be counted; there is space between calls,,Streetsboro,Portage,Ohio,Rural,Pond,Human-made,Permanent,Precipitation or Runoff,,
Under Review,Meadowside Nature Center Study Pond (Rock Creek RP),2023-03-28,39.11411,-77.10814,08:12 pm,08:15 pm,8.89,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",Sounds from outdoor school nearby. Airplane noise at 45 seconds. 20 volunteers group monitoring. Single pickerel frog heard. Multiple American Bullfrog seen. Wood Frog egg masses and tadpoles seen.,Rockville,Montgomery,Maryland,Rural,Pond,Human-made,Permanent,Precipitation or Runoff,,
,Meadowside Nature Center Study Pond (Rock Creek RP),2023-03-28,39.11411,-77.10814,08:12 pm,08:15 pm,8.89,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Pickerel Frog,1 - Individuals can be counted; there is space between calls,Sounds from outdoor school nearby. Airplane noise at 45 seconds. 20 volunteers group monitoring. Single pickerel frog heard. Multiple American Bullfrog seen. Wood Frog egg masses and tadpoles seen.,Rockville,Montgomery,Maryland,Rural,Pond,Human-made,Permanent,Precipitation or Runoff,,
,Natural area swamp,2023-03-28,42.76109,-84.43771,08:48 pm,08:51 pm,4.44,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Wood Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,East Lansing ,Ingham,Michigan,Suburban,Swamp or Woodland Swamp,Natural,Temporary Some Years,Precipitation or Runoff,Swamp,
,Natural area swamp,2023-03-28,42.76109,-84.43771,08:48 pm,08:51 pm,4.44,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Western Chorus Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,East Lansing ,Ingham,Michigan,Suburban,Swamp or Woodland Swamp,Natural,Temporary Some Years,Precipitation or Runoff,Swamp,
,Natural area swamp,2023-03-28,42.76109,-84.43771,08:48 pm,08:51 pm,4.44,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,East Lansing ,Ingham,Michigan,Suburban,Swamp or Woodland Swamp,Natural,Temporary Some Years,Precipitation or Runoff,Swamp,
,Barlow Mill Rd 1,2023-03-28,41.946095,-72.151574,07:49 pm,07:52 am,5.56,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Ashford,Windham,Connecticut,Rural,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,8 acre permanent red maple swamp at the base of a wooded escarpment found to the north and west.  A small man-made pond abuts and connects to the eastern edge.   ,follow map directions to 39 Barlow Mill Rd
,Wilton Conservation Wetlands,2023-03-28,41.1664,-73.449,08:33 pm,08:36 pm,4.44,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Wilton,"Fairfield
",Connecticut,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,"Natural wetlands with numerous feeds. Many large trees along with many fallen trees. Lots of ground cover, such as ""skunk cabbage"" and garlic mustard. ","Take CT Route 7 North to CT Route 106 West. After passing the intersection with Belden Hill Road, take the second Left onto Old Boston Road. At the first Stop sign, take a Right onto Old Kings Highway. Take the second Right onto a long private driveway for numbers 10 & 14. The Site Habitat parallels the driveway along its West side."
,SMR-Crest Trail Vernal Pool,2023-03-28,40.73744,-74.2905,07:50 pm,07:55 pm,8.89,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,,Maplewood,Essex County,New Jersey,Suburban,Vernal Pool,Natural,Temporary Every Year,Not Known,Small Vernal Pool just south of Wildflower & Forest Preserve,"Crest Trail from Bear Lane, follow the deer exclosure fence"
,Pine Brook,2023-03-28,41.425642,-72.866118,08:12 pm,08:15 pm,7.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Spring Peeper,2 - Calls of individuals can be distinguished but there is some overlapping of calls,The American Toads are positioned further to the west from the Spring Peepers. They are quieter in this location and can better be heard when there is a lull in the Spring Peeper chatter. 0.26” of rain accumulated from yesterday through the morning. The low temperature tonight is expected to reach 32 degrees F. ,North Haven,New Haven,Connecticut,Rural,Pond,Natural,Permanent,Stream or River,"Pine Brook is a stream that flows generally west to east. There is a pond located to the west that has a small dam. Water flows over the dam and continues east. The observation area is located east and downstream of this dam. The area is bordered by an old farmer’s field to the north and hilly, treed terrain to the south. Up the hill and further south is a housing development. ",Use the intersection of Mount Carmel Avenue and Chestnut Lane in Hamden. Park safely and walk south across Mount Carmel Avenue and across the old farmer’s field approximately 200’ to the Pine Brook stream. 
,Pine Brook,2023-03-28,41.425642,-72.866118,08:12 pm,08:15 pm,7.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,American Toad,1 - Individuals can be counted; there is space between calls,The American Toads are positioned further to the west from the Spring Peepers. They are quieter in this location and can better be heard when there is a lull in the Spring Peeper chatter. 0.26” of rain accumulated from yesterday through the morning. The low temperature tonight is expected to reach 32 degrees F. ,North Haven,New Haven,Connecticut,Rural,Pond,Natural,Permanent,Stream or River,"Pine Brook is a stream that flows generally west to east. There is a pond located to the west that has a small dam. Water flows over the dam and continues east. The observation area is located east and downstream of this dam. The area is bordered by an old farmer’s field to the north and hilly, treed terrain to the south. Up the hill and further south is a housing development. ",Use the intersection of Mount Carmel Avenue and Chestnut Lane in Hamden. Park safely and walk south across Mount Carmel Avenue and across the old farmer’s field approximately 200’ to the Pine Brook stream. 
,156 Bedlam Rd pond,2023-03-28,41.777605,-72.144749,07:46 pm,07:49 pm,5.56,0 - CALM: smoke rises vertically,None,Some Precipitation,Below Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",the spring peepers were not calling right at the pond but in the surrounding environs,Chaplin,Windham,Connecticut,Suburban,Pond,Human-made,,Groundwater,"The pond was created with a backhoe from the previous owner. Surrounded by woods on three sides and shrubs and grass on one side. Shaped like a swimming pool. Shallow at one end quickly dropping to 14 feet deep. During a dry summer, the pond does dry up.",On the residential property of 156 Bedlam Road.
,Sunset Zoo pond,2023-03-28,39.17746,-96.595663,08:12 pm,08:15 pm,8.33,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Boreal Chorus Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Manhattan,Riley,Kansas,Suburban,Pond,Human-made,Permanent,Not Known,Small man-made pond on zoo grounds,"Take the Africa trail that runs along the Cheetah exhibit, heading toward the chimp/colobus. "
,vernalpool,2023-03-28,42.2492,-72.6684,08:10 pm,08:13 pm,2.78,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Easthampton,Hampshire,Massachusetts,Suburban,Vernal Pool,Natural,Temporary Every Year,Precipitation or Runoff,woodland vernal pool,woods approx a quarter mile southeast of treehouse circle
,vernalpool,2023-03-28,42.2492,-72.6684,08:10 pm,08:13 pm,2.78,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Wood Frog,"3 - Full chorus, calls are constant, continuous and overlapping",,Easthampton,Hampshire,Massachusetts,Suburban,Vernal Pool,Natural,Temporary Every Year,Precipitation or Runoff,woodland vernal pool,woods approx a quarter mile southeast of treehouse circle
,NSNHSSP (Ninety Six National Historic Site Small Pond),2023-03-28,34.1421,-82.0141,08:38 pm,08:41 pm,16,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Spring Peeper,"3 - Full chorus, calls are constant, continuous and overlapping",,Ninety Six,Greenwood,South Carolina,Site managed by the National Park Service,Pond,Human-made,Permanent,Pond,"his pond is a fraction of an acre in size.  Surface and emergent vegetation covers most of the pond's surface.  The emergent vegetation grows from the shoreline to several feet into the pond.  The vegetation is so thick, I have seen frogs resting on top of it.  Cattails and water hemlock grow on some the the vegetation mats.  Willows grow along much of the shore.  With the exception of one large oak, the dike has no trees.  The Park personnel regularly maintain the dike. The pond is surrounded by forest.  I have seen water bubbling from the ground on the southwest corner of the pond, so I suspect that it is spring fed.  The pond supports a population of mosquito fish (Gambusia).  The floodplain for Henley Creek is located within about 1/4 mile south of the pond.  This floodplain normally has several vernal pools.","From the instersection of Highway 34 and Highway 248 in the town of Ninety Six, travel two miles south on Highway 248.  The visitor's center for Ninety Six National Historic Site is located on the left.  To get to the pond, walk on the paved trail past the visitor's center to the battlefield.  Follow the trail to the Star Fort.  At the fort, leave the trail and look for an unpaved trail behind the star.  This unpaved trail takes you to a service road, also unpaved.  Turn right onto this service road and take an almost immediate left on a perpendicular service road.  Follow this service road to the small pond."
,NSNHSSP (Ninety Six National Historic Site Small Pond),2023-03-28,34.1421,-82.0141,08:38 pm,08:41 pm,16,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,,Ninety Six,Greenwood,South Carolina,Site managed by the National Park Service,Pond,Human-made,Permanent,Pond,"his pond is a fraction of an acre in size.  Surface and emergent vegetation covers most of the pond's surface.  The emergent vegetation grows from the shoreline to several feet into the pond.  The vegetation is so thick, I have seen frogs resting on top of it.  Cattails and water hemlock grow on some the the vegetation mats.  Willows grow along much of the shore.  With the exception of one large oak, the dike has no trees.  The Park personnel regularly maintain the dike. The pond is surrounded by forest.  I have seen water bubbling from the ground on the southwest corner of the pond, so I suspect that it is spring fed.  The pond supports a population of mosquito fish (Gambusia).  The floodplain for Henley Creek is located within about 1/4 mile south of the pond.  This floodplain normally has several vernal pools.","From the instersection of Highway 34 and Highway 248 in the town of Ninety Six, travel two miles south on Highway 248.  The visitor's center for Ninety Six National Historic Site is located on the left.  To get to the pond, walk on the paved trail past the visitor's center to the battlefield.  Follow the trail to the Star Fort.  At the fort, leave the trail and look for an unpaved trail behind the star.  This unpaved trail takes you to a service road, also unpaved.  Turn right onto this service road and take an almost immediate left on a perpendicular service road.  Follow this service road to the small pond."
,NSNHSSP (Ninety Six National Historic Site Small Pond),2023-03-28,34.1421,-82.0141,08:38 pm,08:41 pm,16,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Southern Leopard Frog,1 - Individuals can be counted; there is space between calls,,Ninety Six,Greenwood,South Carolina,Site managed by the National Park Service,Pond,Human-made,Permanent,Pond,"his pond is a fraction of an acre in size.  Surface and emergent vegetation covers most of the pond's surface.  The emergent vegetation grows from the shoreline to several feet into the pond.  The vegetation is so thick, I have seen frogs resting on top of it.  Cattails and water hemlock grow on some the the vegetation mats.  Willows grow along much of the shore.  With the exception of one large oak, the dike has no trees.  The Park personnel regularly maintain the dike. The pond is surrounded by forest.  I have seen water bubbling from the ground on the southwest corner of the pond, so I suspect that it is spring fed.  The pond supports a population of mosquito fish (Gambusia).  The floodplain for Henley Creek is located within about 1/4 mile south of the pond.  This floodplain normally has several vernal pools.","From the instersection of Highway 34 and Highway 248 in the town of Ninety Six, travel two miles south on Highway 248.  The visitor's center for Ninety Six National Historic Site is located on the left.  To get to the pond, walk on the paved trail past the visitor's center to the battlefield.  Follow the trail to the Star Fort.  At the fort, leave the trail and look for an unpaved trail behind the star.  This unpaved trail takes you to a service road, also unpaved.  Turn right onto this service road and take an almost immediate left on a perpendicular service road.  Follow this service road to the small pond."
