Status,Station Name,Observation Date,Latitude,Longitude,Reporting Category,# Observed,Comments,Report ID
,Site 104475,2020-12-31,34.713,-76.968,Hummingbird Sighting,3,"Observed our 3 regular females/juveniles at our feeders today.  They were observed morning, mid day and close to dusk.  Again, 2 of the morning hummers had a few rumbles.","1,526,499,301"
,Site 1301,2020-12-31,26.074,-80.313,Monarch Adult Sighted,8,Visiting Flamingo Gardens in Weston Florida last week and noted many monarchs there and at our resort in Weston.,"1,526,499,494"
,Site 2738,2020-12-31,28.481,-81.488,Monarch Larva Sighted,2,One is preparing to make its chrysalis.,"1,526,499,287"
,Site 2552,2020-12-31,28.198,-82.33,Monarch Adult Sighted,1,10:10AM,"1,526,499,291"
,Site 2669,2020-12-31,28.384,-80.699,Monarch Egg Sighted,3,Three eggs sighted on Milkweed.,"1,526,499,350"
,Site 4988,2020-12-31,29.744,-84.865,Monarch Adult Sighted,1,On my milkweed,"1,526,499,340"
,Site 3909,2020-12-31,29.485,-98.408,Monarch Larva Sighted,1,4 instar on tropical milkweed,"1,526,499,296"
,Site 3654,2020-12-31,29.421,-95.12,Monarch Egg Sighted,3,3 eggs found in garden.  The weather has been warmer this last week and milkweed is growing back.,"1,526,499,302"
,Site 3654,2020-12-31,29.421,-95.12,Monarch Egg Sighted,3,3 eggs found in garden.  The weather has been warmer this last week and milkweed is growing back.,"1,526,499,290"
,Site 7118,2020-12-31,30.166,-96.4,Monarch Egg Sighted,3,Three Monarch eggs found on milkweed. Brought them inside due to cold weather.,"1,526,499,292"
,Site 8446,2020-12-31,30.397,-89.262,Monarch Larva Sighted,1,"I cut back all my milkweed on October 1, but obviously some grew back.","1,526,499,656"
,Site 104475,2020-12-30,34.713,-76.968,Hummingbird Sighting,3,"Observed 3 females/juveniles at our feeders today.  During the morning, 2 had a little territorial battle, but mostly they fed one at a time.  The same 3 several times in the morning, mid day and near dusk.","1,526,499,280"
,Site 1546,2020-12-30,26.486,-80.163,Monarch Larva Sighted,1,I was delighted to see the caterpillar as we have not seen any adults flying around for a few months.,"1,526,499,467"
,Site 3382,2020-12-30,29.218,-94.937,Monarch Adult Sighted,1,While walking the dog,"1,526,500,632"
,Site 3382,2020-12-30,29.218,-94.937,Monarch Adult Sighted,1,While walking the dog,"1,526,500,592"
,Site 3382,2020-12-30,29.218,-94.937,Monarch Adult Sighted,1,While walking the dog,"1,526,500,405"
