Status,Station Name,Observation Date,Latitude,Longitude,Water Type,pH,Nitrate,Nitrite,Hardness,Chlorine,Alkalinity,Other Observations
,Gokarna,2023-03-14,14.54887,74.32324,Well,6.2,10,0,75,0,50,
,Gokarna,2023-03-14,14.54887,74.32324,Tap Water,7.2,20,2,150,0,300,"not sure if the strip worked well, cause there is a smell of chlorine in the water but the test showed almost none. Refer to the photo for more accurate results. "
,"Green River Natural Resources Area, Kent, WA ",2023-02-11,47.40995,-122.26629,,7.2,0,0,0,0.5,150,
,Hope Research Base,2023-02-07,38.30124,-77.71291,Tap Water,6.8,0,1,75,0.3,120,Poor Water Pressure
,Bingaman Pond Natural Area,2023-01-27,47.34627,-122.28726,Pond,6.8,10,0.25,,0,,
,Residential,2023-01-27,47.3479,-122.26735,Tap Water,7.2,1.5,0,169,0.5,156,
,Great Kids Farms,2023-01-21,41.808007,-85.127233,Stream,6.2,20,0,300,0,120,
,Great Kids Farm,2023-01-21,39.347979,-76.63696,,8.4,15,0,75,0,150,
,Great Kids Farm,2023-01-21,39.347979,-76.63696,Stream,8,10,0,200,0.5,150,
,Great Kids Farm,2023-01-21,39.347979,-76.63696,Stream,7.8,5,0,300,0,80,
,Great Kids Farm,2023-01-21,39.347979,-76.63696,Stream,6.2,0,0,200,0,100,
,Great Kids Farm,2023-01-21,39.347979,-76.63696,Stream,6.8,5,0,150,0,150,
,Great Kids Farm,2023-01-21,39.347979,-76.63696,Stream,6.5,5,0,300,0,180,
,clark park,2023-01-11,41.94476,-87.69428,Pond,7,,,,,,test observations
,House tap water,2022-12-12,36.99144,-121.95352,Tap Water,,,,,,,
,House tap water,2022-12-12,36.99144,-121.95352,Tap Water,5,0.08,,,,,
,Klug Hill ,2022-12-12,41.821014,-73.172185,Well,6.7,2,0.1,26,0,115,
,Nepaug,2022-12-12,41.79789,-73.008905,Well,6.2,10,0,0,0,80,Water is well water.
,Northfield Pond,2022-12-12,41.699846,-73.103913,Pond,6.2,0,0,0,0,0,
,Connecticut,2022-12-11,35.395548,-80.921663,Tap Water,6.2,0,0.5,0,0,40,
,unionville,2022-12-09,41.761391,-72.88538,Rainwater,6.5,0,0,0,0.5,80,pooled rainwater that collects in a bucket outside my house
,LaBagh Woods ,2022-11-11,41.977777,-87.74013,River,7.8,25,0,300,0,180,
,Eugene Field Park,2022-11-07,23.555614,-87.72208,River,6.8,20,0,230,0,155,
,North Branch Chicago River and North Shore Channel Confluence.,2022-11-07,41.973274,-87.704499,River,7.5,30,0,100,0,170,
,Lake and Wacker Chicago River,2022-11-06,41.886124,-87.63716,River,7.5,40,0,300,1,120,
,Columbus and Wacker Chicago River,2022-11-06,41.889059,-87.620586,River,8,20,0.5,150,1,180,
,Loyola Beach - N Sheridan and W Pratt Blvd,2022-11-06,42.005498,-87.657157,Lake,6.2,0,0,150,0,120,
,Lake and Wacker Chicago river location,2022-11-06,41.9707,-87.6993,River,7.5,40,0,300,1,120,
,Chicago River Canoe and Kayak ,2022-11-05,41.94335,-87.69511,River,6.8,60,2,300,0.5,120,
,Caldwell Woods (sight 4*) ,2022-11-05,41.99722,-87.77654,River,8.4,20,0.5,300,0.5,300,muddy and wet (golf balls covered river bottom) (58 degrees and windy)
,Bunker Hill (sight 2*) ,2022-11-05,42.00896,-87.79355,,7,0,10,170,0,100,"under a bridge (Cold, Windy, Right after rain) "
,River Park (sight 3*) ,2022-11-04,41.97577,-87.70476,River,8.4,40,1,300,0,180,"crowded with people and vegetation (58 degrees, windy) "
,Tom Ping Memorial Park,2022-11-04,41.85726,-87.63491,River,8.4,20,1,225,0.5,180,
,Bunker Hill (sight 1*) ,2022-11-04,42.00397,-87.78925,River,7.5,0,10,180,0,150,slightly muddy 
,Dihydrogen Monoxide,2022-11-04,42.10169,-87.75923,River,8.5,20,2,250,0.2,275,"murky water, pollution in water and on shore, logs in water, tall grass"
,Dihydrogen Monoxide,2022-11-04,42.10169,-87.75923,River,8.5,20,2,250,0.2,275,"Murky water, swampy, pollution in water such as plastic bottles, large logs in and out of shoreline, and tall grass and trees were present."
,clark park,2022-11-02,41.94476,-87.69428,River,7.2,20,0,300,0,180,"there was a dock around the area there was ducks, water seemed to have algea "
,West River Park,2022-11-02,41.97213,-87.70367,River,7.5,30,0,200,0,150,Many boats were in the river. Calm flow under a bridge.
,Eugene Field (Pond),2022-11-01,41.973728,-87.722127,Pond,7.8,20,3,300,0.3,0.26,Water turbidity was very foggy & contaminated with outside nearby debris from Eugene Park
,Gompers Lagoon and Wetland (sight 5*) ,2022-11-01,41.97479,-87.72853,River,7.2,40,0,300,1,7.2,Meadow/ Marshland
,Forest Glen Woods ,2022-11-01,41.98568,-87.75753,River,7.2,20,0,300,0,120,Basketball in the river. River is flowing at a moderate pace. A few leaves in the water. 
,Backyard Pond,2022-10-27,41.854285,-73.072974,Pond,6.2,2,0,25,0.6,0,"Usually dry, but just had rainfall. A lot of debris."
,West Granby,2022-10-26,41.956505,-72.84036,River,6.2,0,0,0,0,40,
,Torrington water data,2022-10-26,41.810075,-73.088722,Tap Water,6.8,20,0,75,0,80,
,"Torrington, CT water data",2022-10-26,41.810046,-73.088781,Tap Water,6.8,20,0,75,0,80,
,soquel creek,2022-10-24,15.941007,-2.650577,Stream,7.8,0,1,300,0,300,
,under trestle,2022-10-24,13.293461,8.988487,Stormwater,7.2,0,0.5,150,0,180,
,blue ball park,2022-10-24,36.9944,-121.95992,Tap Water,8.4,20,0,25,0.5,300,
,My house,2022-10-24,36.994667,-121.956706,River,7.8,0,0,300,0,300,A lot of leaves and plants around the water. 
,House tap water,2022-10-23,36.99144,-121.95352,Tap Water,8.4,0,0,75,0,180,the water was clear.
,drinking fountain at soquel high school,2022-10-23,16.957158,-5.292446,Tap Water,7.2,0,0,300,0,180,
,Neary Lagoon,2022-10-23,36.96146,-122.03209,Lake,7.8,0,0,300,1,300,
,Antonelli Pond,2022-10-23,36.96272,-122.031919,Lake,7.8,0,0,300,1,300,
,house,2022-10-23,36.98173,-121.94086,Tap Water,6.8,0,0,300,0.5,80,
,Antonelli Pond,2022-10-23,36.95481,-122.06043,Pond,8.4,0,0,75,1,180,
,Nearly Lagoon ,2022-10-23,36.96315,-122.03209,Lake,7.8,0,0,300,1,300,
,Soquel creek mouth ,2022-10-23,36.97521,-121.95519,River,8.4,0,0,300,0.2,120,"Currently closed off from the ocean, is currently freshwater"
,Soquel Creek,2022-10-23,36.98905,-121.95519,River,8,0,0,150,0,180,"Surrounding area was very foresty, lots of tree cover."
,creek under bridge ,2022-10-23,36.99134,-121.95587,Stream,7.8,5,0.5,25,0.5,300,
,Antonelli Pond,2022-10-23,36.95481,-122.06093,Pond,8.4,0,0,75,1,180,
,Antonelli Pond,2022-10-23,36.95481,-122.06043,Pond,8.4,0,0,75,1,180,
,Westlake Park,2022-10-23,36.97637,-122.04554,Pond,8.4,0,0,75,0.5,180,
,House :),2022-10-23,36.99226,-121.93791,Tap Water,8.4,0,0,150,0,180,"Very clear, has some bubbles, nothing unusual."
,westslake park ,2022-10-23,36.97637,-122.04554,Pond,8.4,0,0,75,1,180,
,West Lake Park,2022-10-23,36.97637,-122.04554,Pond,8.4,0,0,300,0.5,300,
,my house,2022-10-23,36.99053,-121.95413,Tap Water,7.2,0,0,75,0,120,
,home ,2022-10-23,36.982,-121.98641,Well,6.8,0,0.5,300,0,40,
,my well water,2022-10-23,36.96909,-121.85129,Well,6.8,20,0,75,0,80,
,mi casa ,2022-10-23,36.98571,121.96187,Runoff,6.2,0,0.5,75,0,180,
,home,2022-10-23,36.7376,-121.64099,Rainwater,6.2,0,0,75,0,120,
,Soquel Creek Little Tampico,2022-10-23,36.98558,-121.9554,Stream,8.4,0,0,300,0.5,300,
,Soquel Creek ,2022-10-23,36.98558,-121.9554,Stream,8.4,0,0,300,0.5,300,
